src,target_text,target_pron,ratio
Adrenalin,آدرنالین,adrenālin,89
Airbag,ایربگ,ajrbag,83
Akustik,آکوستیک,ākustik,86
Alkohol,الكل,alkol,83
Aluminium,آلومینیوم,āluminium,89
alkoholisch,الكلی,alkoli,71
arabisch,عربی,arabi,77
Atelier,آتلیه,ātelije,71
Atlantik,آتلانتیک,ātlāntik,75
Atlas,اطلس,atlas,100
Atom,اتم,atom,100
Atombombe,بمب اتمی,bomb-e atomi,86
atomar,اتمی,atomi,73
aus Berlin,از برلین,az berlin,84
aus Berlin,اهل برلین,ahl-e berlin,73
aus Berlin,برلینی,berlini,71
Autobus,اتوبوس,otobus,77
Balkon,بالكن,bālkon,83
Ballon,بالون,bālon,73
Bank,بانك,bānk,75
Basketball,بسكتبال,basket-bāl,80
Benzin,بنزین,benzin,100
Beton,بتن,beton,100
Billard,بیلیارد,biljārd,71
Biologie,بیولوژی,bijoloži,75
Block,بلوک,blok,89
blond,بلوند,bolond,91
Bodensee,بودن‌زه,boden-ze,75
Bombe,بمب,bomb,89
Bowling,بولینگ,bowling,100
Bronchitis,برونشیت,bronšit,71
Bronze,برنز,boronz,83
Brötchen,بروتشن,brotšen,71
Budget,بودجه,budğe,73
Bürokratie,بوروکراسی,burokrasi,78
Cent,سنت,sent,75
Dänemark,دانمارک,dānmārk,71
darin,در آن,dar ān,73
Delfin,دلفین,delfin,100
Demokratie,دمكراسی,demokrāsi,74
Dessert,دسر,deser,83
demokratisch,دموکراتیک,demokrātik,73
Diabetes,دیابت,diābet,71
Diesel,دیزل,dizel,73
Diktat,دیكته,dikte,73
Diktatur,دیكتاتوری,diktātori,71
Diplomat(in),دیپلمات,diplomāt,74
Disco,دیسکو,disko,80
Diskothek,دیسکوتک,disko-tek,89
Diskothek,دیسکو,disko,71
digital,دیجیتال,diğitāl,71
Doktor,دكتر,doktor,100
Dollar,دلار,dolār,73
Doping,دوپینگ,doping,100
Download,دانلود,dāwnlod,80
Ekzem,اگزما,egzemā,73
Elbe,الب,elb,86
Elektromotor,الکتروموتور,elektro-motor,96
Elektronik,الکترونیک,elektronik,100
elektrisch,الكتریكی,elektriki,74
elektronisch,الکترونیکی,elektroniki,78
Energie,انرژی,enerži,77
englisch,انگلیسی,engelisi,75
ergonomisch,ارگونومیک,ergonomik,80
erotisch,اروتیک,erotik,71
Euro,یورو,juro,75
Feedback,فیدبک,fidbak,71
Filet,فیله,file,89
Film,فیلم,film,100
Filter,فیلتر,filter,100
Finale,فینال,fināl,73
Fluor,فلوئور,flu-or,91
Folklore,فولكلور,folkolor,88
Forum,فروم,forum,100
Fotokopie,فتوكپی,foto-kopi,89
Foul,فول,foul,100
Gastritis,گاستریت,gāstrit,75
Getto,گتو,geto,89
Grafik,گرافیک,grāfik,83
Gramm,گرم,geram,80
Grippe,گریپ,grip,80
Hacker(in),هکر,haker,71
Hals,حلق,halġ,75
Hamburger,همبرگر,hamberger,89
Hamster,همستر,hamster,100
Harem,حرم,haram,80
Hämoglobin,هموگلوبین,hemogolobin,90
hallo,الو!,alo,75
Hektar,هکتار,hektār,83
Hepatitis,هپاتیت,hepātit,75
Heroin,هروئین,hero'in,92
Hertz,هرتس,herts,80
Hessen,هسن,hesen,91
Holland,هلند,holand,92
Hormon,هورمون,hormon,100
Hotel,هتل,hotel,100
holländisch,هلندی,holandi,71
Hyperlink,هایپرلینک,hājper-link,80
Hysterie,هیستری,histeri,80
IBAN,ایبان,ibān,75
Idee,ایده,ide,86
Implantat,ایمپلنت,implant,88
Informatik,انفورماتیک,anformātik,80
Institut,انستیتو,anstitu,80
Insulin,انسولین,ansolin,71
Integration,انتگراسیون,antegrasion,82
Internet,اینترنت,internet,100
interaktiv,اینتراکتیو,interaktiw,90
Iran,ایران,irān,75
Island,ایسلند,island,100
isländisch,ایسلندی,islandi,75
Jodtinktur,تنتور ید,tantur-e jod,73
Judo,جودو,ğudo,75
Kabine,كابین,kābin,73
Kalorie,کالری,kalori,92
Kantine,کانتین,kāntin,77
Kanton,کانتون,kānton,83
Kapsel,كپسول,kapsul,83
Karikatur,كاریكاتور,kārikātur,78
Karton,كارتن,kārton,83
Katalog,کاتالوگ,kātālog,71
kalorienarm,کم‌کالری,kam-kalori,76
Kelim,گلیم,gelim,80
Keramik,سرامیك,serāmik,71
Kilo,كیلو,kilu,75
Kilometer,كیلومتر,kilumetr,82
Kiosk,كیوسك,kijusk,73
Kiwi,کیوی,kivi,75
Kiwi,كیوی,kiwi,100
Klarinette,کلارینت,kelārinet,74
Klinikum,کلینیک,kelinik,80
Klitoris,کلیتوریس,klitoris,100
Klub,كلوب,kolub,89
Kode,كد,kod,86
Kokain,کوکائین,kokāin,83
Koma,کما,komā,75
Komitee,كمیته,komite,92
Kommunismus,کمونیسم,komonism,74
Kompost,کمپوست,kompost,100
Kompott,كمپوت,kompot,92
Kompresse,کمپرس,komperes,82
Komödie,كمدی,komedi,83
Kondom,کاندوم,kāndom,83
Kongress,كنگره,kongere,80
Konserve,كنسرو,konserw,80
Konsul(in),كنسول,konsul,80
Kontrolle,كنترل,kontorol,82
Konzert,كنسرت,konsert,86
Kopie,كپی,kopi,89
Krematorium,کرماتوریوم,kremātoriom,82
Kristall,كریستال,kristāl,80
Kuckuck,كوكو,kuku,73
Laptop,لپ‌تاپ,lap-top,92
Leuchter,لوستر,luster,71
Liga,لیگ,lig,86
Limo,لیموناد,limonād,73
Link,لینک,link,100
Liste,لیست,list,89
Liter,لیتر,litr,89
liberal,لیبرال,liberāl,86
Lokomotive,لکوموتیو,lokomotiw,84
Luxemburg,لوکزامبورگ,luksāmburg,74
Mango,مانگو,māngo,80
Maniküre,مانیکور,mānikur,71
Margarine,مارگارین,mārgārin,71
Mark,مارك,mārk,75
Marmor,مرمر,marmar,83
Meningokokke,مننگوکوک,menangokok,82
Meniskus,منیسک,menisk,86
Menü,منو,menu,86
Meter,متر,metr,89
Metermaß,متر,metr,73
Migräne,میگرن,migren,83
Mikrofon,میکروفن,mikrofon,100
Millimeter,میلیمتر,milimetr,89
Million,میلیون,milijon,86
Mine,مین,min,86
Miniatur,مینیاتور,minijātor,71
Mobbing,موبینگ,mobing,92
Mode,مد,mod,86
Modem,مودم,modem,100
Moldawien,مولداوی,moldāwi,75
Monitor,مانیتور,mānitor,86
Montenegro,مونته‌نگرو,monte-negro,95
Motor,موتور,motor,100
modern,مدرن,modern,100
Mufti,مفتی,mofti,80
Musik,موسیقی,musiġi,73
Musik,موزیك,muzik,80
Negativ,نگاتیو,negātiw,71
Nikotin,نیکوتین,nikotin,100
Norwegen,نروژ,norwež,71
Note,نت,not,86
norwegisch,نروژی,norweži,71
nun,اكنون,aknun,75
Oktober,اكتبر,oktobr,92
Omelett,املت,omlet,83
Omen,یمن,jomn,75
Oper,اپرا,operā,89
Operette,اپرت,operet,86
Orchester,اركستر,orkestr,75
Orchidee,ارکیده,orkide,71
Organismus,ارگانیسم,organism,89
Orgasmus,ارگاسم,orgāsm,71
Orgel,ارگ,org,75
Orthopädie,ارتوپدی,ortopedi,82
Ozon,اوزون,ozon,100
Ökologie,اکولوژی,ekoloži,71
Ökosystem,اکوسیستم,eko-sistem,78
Pakistan,پاکستان,pākistān,75
Paprika,پاپریكا,pāprikā,71
Parameter,پارامتر,pārāmetr,71
Park,پارك,pārk,75
Parkett,پارکت,pārket,77
Pedal,پدال,pedāl,80
Pediküre,پدیکور,pedikur,86
Pension,پانسیون,pānsijon,80
Personal,پرسنل,personel,88
Pfennig,فنیگ,fenig,83
Piano,پیانو,pijāno,73
Pik,پیک,pik,100
Pilates,پیلاتس,pilātes,86
Piste,پیست,pist,89
Pixel,پیکسل,piksel,73
Planetarium,پلانتاریوم,plantārium,86
Plastik,پلاستیك,pelāstik,80
Platin,پلاتین,pelātin,77
Plombe,پلمپ,polomb,83
Polyp,پولیپ,polip,80
Populist,پوپولیست,populist,100
Porno,پورنو,porno,100
Post,پست,post,100
Poster,پوستر,poster,100
populistisch,پوپولیستی,popolisti,76
Projektor,پروژكتور,porožektor,84
Prothese,پروتز,protez,71
Protokoll,پروتکل,porotokol,89
Pudding,پودینگ,puding,92
Puder,پودر,pudr,89
Püree,پوره,pure,75
Quarantäne,قرنطینه,ġarantine,78
Radio,رادیو,rādio,80
Rakete,راكت,rāket,73
Rampe,رمپ,ramp,89
Rap,رپ,rap,100
radioaktiv,رادیواكتیو,rādioaktiw,80
Referendum,رفراندم,refrāndom,74
Reflektor,رفلکتور,reflektor,100
Reflektor RADIO,رفلکتور,reflektor,75
Regel,رگل,regl,89
Regime,رژیم,režim,73
Rekord,رکورد,rekord,100
retro,رترو,retro,100
Ring,رینگ,ring,100
Risiko,ریسك,risk,80
Rolle,رل,rol,75
Roman,رمان,romān,80
Router,روتر,ruter,91
Sabbat,سبت,sabt,80
Salamander,سمندر,samandar,78
Salon,سالن,sālon,80
Samowar,سماور,samāwar,86
Sandale,صندل,sandal,92
Saudi-Arabien,عربستان سعودی,arabestān-e so'udi,71
Scanner,اسکنر,eskaner,71
Sekretär,سکرتر,sekartar,80
Sekretärin,سكرتر,sekreter,82
Seminar,سمینار,seminār,86
Sensor,سنسور,sensor,100
September,سپتامبر,septāmbr,82
Serbien,صربستان,serbestān,75
Serie,سری,seri,89
Server,سرور,serwer,83
selektiv RADIO,سلکتیو,selektiv,73
Silbe,سیلاب,silāb,80
Silikon,سیلیکون,silikon,100
Silo,سیلو,silo,100
Skelett,اسكلت,eskelet,86
Ski,اسكی,eski,86
Slogan,اسلوگان,eslowgān,71
Slowakei,اسلوواکی,eslowāki,75
Slowenien,اسلوونی,esloweni,82
Soja,سویا,sojā,75
Spaghetti,اسپاگتی,espāgeti,71
Spam,اسپم,espam,89
Start,استارت,estārt,73
Steak,استیک,estajk,73
Suppe,سوپ,sup,75
System,سیستم,sistem,83
Szenario,سناریو,senāriyo,75
Tablet,تبلت,tablet,100
Taifun,تایفون,tāifun,83
Taktik,تاکتیک,tāktik,83
Tampon,تامپون,tāmpon,83
Tanbur,تنبور,tambur,83
Tank,تانك,tānk,75
tabu,تابو,tābu,75
Tabu,تابو,tābu,75
Technik,تكنیك,teknik,77
Techno,تکنو,tekno,73
Teheran,تهران,tehrān,77
Telefon,تلفن,telefon,100
Telefonanruf,تلفن,telefon,74
Tennis,تنیس,tenis,91
Tenor,تنور,tenor,100
Terminal,ترمینال,termināl,88
Terror,ترور,teror,91
Terrorismus,تروریسم,terorism,84
Terrorist(in),تروریست,terorist,80
Tetanus,تتانوس,tetānus,86
telefonisch,تلفنی,telefoni,84
terroristisch,تروریستی,teroristi,82
Thermostat,ترموستات,termostāt,84
Toaster,توستر,toster,92
Tofu,توفو,tofu,100
Tonne,تن,ton,75
Tourismus,توریسم,turism,80
Tourist(in),توریست,turist,75
Traktor,تراكتور,terāktor,80
Tribüne,تریبون,teribun,77
Trompete,ترومپت,trompet,93
Tunnel,تونل,tunel,91
Uniform,اونیفورم,uniform,100
vegan,وگان,vegān,80
Virus,ویروس,wirus,80
Vitamin,ویتامین,witāmin,71
Vitrine,ویترین,witrin,77
Volt,ولت,wolt,75
warm,گرم,garm,75
Whisky,ویسکی,wiski,73
Wodka,ودکا,wodkā,80
